,CodeVehicule_id,puissanceFiscal,typeImmatriculation,energie,dateInsertion,codeMarque,numImmatriculation
1107634,1534470,16,TRAC,GASOIL,2018-07-31,265,TRAC99088
1107635,1536510,6,TU,GASOIL,2018-07-31,29,7594TU183
1107636,1540023,4,TU,ESSENCE,2018-07-31,107,1473TU189
1107637,1541063,4,TU,ESSENCE,2018-07-31,107,5191TU92
1107638,1541081,6,TU,GASOIL,2018-10-11,323,5035TU207
1107639,1541093,5,TU,ESSENCE,2018-10-26,808,6930TU207
1107640,1541124,7,TU,ESSENCE,2018-07-31,119,110TU53
1107641,1541153,7,TU,GASOIL,2018-07-31,29,3827TU125
1107642,1541192,5,TU,ESSENCE,2018-09-25,238,2017TU207
1107643,1544270,7,TU,GASOIL,2018-09-06,29,3760TU104
1107644,1544273,8,TU,GASOIL,2018-07-31,107,4373TU204
1107645,1544288,5,TU,GASOIL,2018-09-29,12,2798TU207
1107646,1544329,5,TU,GASOIL,2018-09-29,29,2733TU207
1107647,1544350,10,RS,ESSENCE,2018-10-07,93,RS184638
1107648,1544404,8,TU,GASOIL,2018-10-09,178,4418TU207
1107649,1544422,11,ES,GASOIL,2018-10-09,2818,ES31979
1107650,1544464,4,TU,ESSENCE,2018-10-11,30,4672TU207
1107651,1544483,8,TU,GASOIL,2018-10-12,376,5193TU207
1107652,1486429,5,RS,GASOIL,2018-02-13,29,RS117079
1107653,1486514,4,TU,ESSENCE,2018-02-13,119,7665TU183
1107654,1486686,5,TU,ESSENCE,2018-02-13,119,8443TU126
1107655,1487070,4,TU,GASOIL,2018-02-13,30,3410TU168
1107656,1487240,8,TU,GASOIL,2018-02-13,376,8329TU161
1107657,1487309,5,TU,ESSENCE,2018-02-13,29,9843TU184
1107658,1487339,5,TU,ESSENCE,2018-02-13,30,3997TU185
1107659,1487417,7,TU,GASOIL,2018-02-13,29,4558TU137
1107660,1594027,4,TU,ESSENCE,1996-01-29,119,4026TU76
1107661,1603919,5,TU,GASOIL,2003-12-23,12,3972TU122
1107662,1604817,7,TU,ESSENCE,2014-04-29,96,8241TU172
1107663,1606158,8,TU,GASOIL,1998-10-07,119,6991TU106
1107664,1606738,5,TU,ESSENCE,2008-02-09,107,5861TU131
1107665,1607099,10,TU,GASOIL,2000-05-02,178,5960TU94
1107666,1607283,9,RS,GASOIL,2015-06-15,816,RS154240
1107667,1141166,5,TU,ESSENCE,2017-10-05,503,5088TU185
1107668,1141440,5,TU,ESSENCE,2017-10-05,12,7415TU50
1107669,1142071,4,TU,ESSENCE,2017-10-05,30,3973TU104
1107670,1142478,4,TU,ESSENCE,2017-10-05,29,7271TU124
1107671,1147999,5,TU,ESSENCE,2017-10-05,30,2918TU179
1107672,1148283,5,TU,GASOIL,2017-12-08,30,2382TU109
1107673,1148747,8,TU,GASOIL,2017-10-05,103,3221TU70
1107674,1150187,6,TU,GASOIL,2017-10-05,29,8337TU93
1107675,1151551,8,TU,GASOIL,2017-10-05,29,6472TU44
1107676,1152194,7,TU,GASOIL,2017-10-05,29,5599TU100
1107677,1152200,15,TU,GASOIL,2017-10-05,5,2511TU47
1107678,1152667,5,TU,ESSENCE,2017-10-05,29,2846TU132
1107679,1324858,7,TU,GASOIL,2018-02-13,12,15TU122
1107680,1324928,5,TU,ESSENCE,2018-02-13,323,5634TU191
1107681,1324997,10,TU,GASOIL,2018-02-13,184,286TU169
1107682,1326418,0,REM,GASOIL,2018-02-13,564,REM104404
1107683,1328740,5,TU,ESSENCE,2018-02-13,119,5468TU153
1107684,1329508,7,TU,ESSENCE,2018-02-13,30,3115TU133
1107685,1330498,18,TU,GASOIL,2018-02-13,178,4613TU134
1107686,1331357,5,TU,GASOIL,2018-02-13,12,4720TU178
1107687,1332675,7,TU,GASOIL,2018-02-13,871,6757TU171
1107688,1334382,5,TU,ESSENCE,2018-02-13,30,9728TU190
1107689,1337426,5,TU,ESSENCE,2018-02-13,30,9777TU153
1107690,1541207,5,TU,ESSENCE,2018-10-09,107,4604TU207
1107691,1541234,5,TU,GASOIL,2018-09-29,119,2991TU207
1107692,1541248,9,TU,GASOIL,2018-09-29,177,2990TU207
1107693,1541250,5,TU,ESSENCE,2018-09-13,30,9899TU206
1107694,1541251,8,TU,GASOIL,2018-10-02,376,3107TU207
1107695,1541282,7,TU,ESSENCE,2018-10-07,30,3775TU207
1107696,1541292,5,TU,ESSENCE,2018-10-11,30,5043TU207
1107697,1541308,5,TU,ESSENCE,2018-10-11,503,4793TU207
1107698,1541335,5,TU,GASOIL,2018-10-17,119,5664TU207
1107699,1541341,8,TU,GASOIL,2018-10-16,29,5400TU207
1107700,1541354,8,TU,ESSENCE,2018-10-19,871,6063TU207
1107701,1541357,6,TU,ESSENCE,2018-10-11,178,4847TU207
1107702,1541370,5,TU,GASOIL,2018-10-19,119,6082TU207
1107703,1541377,4,TU,ESSENCE,2018-10-22,119,6423TU207
1107704,1541382,5,TU,ESSENCE,2018-10-26,808,6729TU207
1107705,1541408,7,TU,GASOIL,2018-07-31,12,9181TU155
1107706,1541496,8,RS,ESSENCE,2018-09-25,119,RS184144
1107707,1541512,6,TU,ESSENCE,2018-10-02,198,3270TU207
1107708,1541532,8,TU,ESSENCE,2018-09-27,156,2568TU207
1107709,1541547,5,TU,ESSENCE,2018-07-31,30,8835TU121
1107710,1541574,5,TU,ESSENCE,2018-10-09,107,4521TU207
1107711,1541580,4,TU,ESSENCE,2018-10-12,107,5329TU207
1107712,1541587,8,RS,GASOIL,2018-10-17,376,RS184923
1107713,1541589,5,TU,ESSENCE,2018-10-11,503,4785TU207
1107714,1541641,11,TU,GASOIL,2018-07-31,178,708TU56
1107715,1541682,6,TU,GASOIL,2018-10-11,107,4277TU143
1107716,1541694,9,TU,GASOIL,2018-09-29,1495,2826TU207
1107717,1541708,5,TU,ESSENCE,2018-09-27,503,2630TU207
1107718,1541748,4,TU,ESSENCE,2018-10-07,808,3752TU207
1107719,1541751,4,TU,ESSENCE,2018-10-02,808,3056TU207
1107720,1541758,10,TU,GASOIL,2018-10-18,816,4390TU207
1107721,1541772,4,TU,ESSENCE,2018-09-27,96,2145TU207
1107722,1541792,4,-,ESSENCE,2018-10-29,119,11-364099
1107723,1541869,16,TU,ESSENCE,2018-09-29,2501,2868TU207
1107724,1541888,8,TU,ESSENCE,2018-10-31,103,7935TU207
1107725,1541904,4,TU,ESSENCE,2018-10-17,178,5709TU207
1107726,1541917,6,TU,ESSENCE,2018-07-31,198,7897TU184
1107727,1541942,5,TU,ESSENCE,2018-10-18,30,6046TU207
1107728,1541954,4,TU,ESSENCE,2018-10-19,119,6087TU207
1107729,1541975,5,TU,ESSENCE,2018-10-31,323,8242TU184
1107730,1541984,6,TU,GASOIL,2018-10-26,107,6570TU207
1107731,1541992,8,TU,GASOIL,2018-10-11,376,4715TU207
1107732,1542008,7,TU,GASOIL,2018-10-15,12,5362TU207
1107733,1541103,4,TU,ESSENCE,2018-10-12,30,5122TU207
1107734,1541114,5,TU,GASOIL,2018-09-29,119,2879TU207
1107735,1541120,6,TU,GASOIL,2018-10-16,323,5433TU207
1107736,1541131,5,TU,ESSENCE,2018-10-09,808,4487TU207
1107737,1541144,4,TU,ESSENCE,2018-10-12,30,5120TU207
1107738,1541188,7,TU,GASOIL,2018-09-29,107,8965TU164
1107739,1541202,5,TU,ESSENCE,2018-10-11,30,4775TU207
1107740,1541245,7,TU,ESSENCE,2018-09-29,871,2992TU207
1107741,1541246,8,TU,GASOIL,2018-09-24,29,1419TU207
1107742,1541257,8,TU,GASOIL,2018-09-27,376,2523TU207
1107743,1541260,5,TU,ESSENCE,2018-09-27,30,2420TU207
1107744,1541267,9,TU,GASOIL,2018-09-29,1495,2828TU207
1107745,1541268,5,TU,ESSENCE,2018-09-27,808,2235TU207
1107746,1339079,5,TU,GASOIL,2018-02-13,107,2826TU190
1107747,1339486,5,TU,ESSENCE,2018-02-12,107,2126TU97
1107748,1342328,5,TU,ESSENCE,2018-02-12,30,5845TU38
1107749,1346056,18,ES,GASOIL,2018-02-13,984,ES20199
1107750,1346082,4,TU,ESSENCE,2018-02-13,96,9863TU176
1107751,1542031,5,TU,GASOIL,2018-10-07,119,3844TU207
1107752,1542049,5,RS,GASOIL,2018-10-16,12,RS184870
1107753,1542425,6,RS,GASOIL,2018-09-02,323,RS182790
1107754,1542452,8,TU,ESSENCE,2018-07-31,103,6441TU186
1107755,1542592,5,TU,ESSENCE,2018-10-08,119,9575TU120
1107756,1542604,14,TRAC,GASOIL,2018-08-29,646,TRAC129927
1107757,1542628,6,TU,ESSENCE,2018-10-02,177,3201TU207
1107758,1542685,8,TU,GASOIL,2018-07-31,184,7786TU111
1107759,1542687,5,TU,ESSENCE,2018-07-31,808,4310TU192
1107760,1542691,8,TU,GASOIL,2018-10-02,376,3337TU207
1107761,1542728,10,RS,ESSENCE,2018-09-17,808,RS183680
1107762,1542737,5,RS,GASOIL,2018-09-17,29,RS183815
1107763,1542773,5,TU,GASOIL,2018-10-07,105,6006TU56
1107764,1542805,5,TU,ESSENCE,2018-10-07,808,3946TU207
1107765,1542828,9,TU,GASOIL,2018-10-07,9980,4203TU207
1107766,1542872,6,RS,GASOIL,2018-08-29,12,RS182435
1107767,1542878,5,TU,ESSENCE,2018-10-08,30,6067TU189
1107768,1542923,5,TU,GASOIL,2018-07-31,107,4223TU73
1107769,1542933,34,TU,ESSENCE,2018-10-11,771,4280TU207
1107770,1542952,6,TU,ESSENCE,2018-10-09,107,4530TU207
1107771,1542981,17,TU,GASOIL,2018-10-11,376,4997TU207
1107772,1543092,5,TU,ESSENCE,2018-07-31,30,1694TU95
1107773,1543102,6,RS,ESSENCE,2018-10-12,808,RS184851
1107774,1543151,6,TU,GASOIL,2018-10-11,29,3290TU207
1107775,1543152,5,RS,ESSENCE,2018-10-18,178,RS184960
1107776,1543177,8,TU,GASOIL,2018-07-31,107,8821TU66
1107777,1543215,5,TU,ESSENCE,2018-10-18,646,5886TU207
1107778,1543228,16,TRAC,GASOIL,2018-10-19,191,TRAC119275
1107779,1543263,5,RS,GASOIL,2018-10-07,107,RS184610
